featureID,CDMM_A,CDMM_B,CDMM_C,IEC_A,IEC_B,IEC_C
gene-CDR20291_0916,871.48,877.2,1049.71,699.21,917,807.61
gene-CDR20291_0917,1444.94,1393.77,1763.9,1359.6,1983.57,1745.54
gene-CDR20291_0918,1734.57,1881.64,1608.52,2596.18,2854.27,2472.88
gene-CDR20291_0919,22.01,22.41,27.28,20.99,16.81,19.13
gene-CDR20291_0920,46.18,42.43,45.27,38.69,71,51.2
gene-CDR20291_0921,129.01,113.27,123.11,155.95,172.54,143.6
gene-CDR20291_0922,102.74,82.41,103.4,136.12,117.44,93.93
gene-CDR20291_0923,8604.42,9140.92,9049.23,9724.92,11367.48,9920.65
gene-CDR20291_0924,197.36,220.48,203.35,144.32,224.8,179.19
gene-CDR20291_0925,55.01,77.4,67.33,88.68,119.13,113.99
gene-CDR20291_0926,4562.36,5015.9,5186.29,5995.26,6784.99,5620.63
gene-CDR20291_0927,283.49,402.6,412.09,498.45,751.4,625.34
gene-CDR20291_0928,618.07,659.68,752.65,965.82,1284.49,1125.43
gene-CDR20291_0929,1398.22,1601.54,1640.74,2401.75,2973.36,2726.33
gene-CDR20291_0930,264.62,299.29,330.94,681.51,780.95,671.94
gene-CDR20291_0931,5546.56,5470.23,7429.47,12231.36,13703.67,12236.51
gene-CDR20291_0932,2700.32,3312.35,3913.57,4952.13,6444.21,6112.74
gene-CDR20291_0933,1084.66,1333.6,1518.98,1913.36,2319.9,2196.1
gene-CDR20291_0934,3312.09,3857.56,4458.76,5787.61,7405.36,7061.11
gene-CDR20291_0935,2655.81,2954.02,3416.41,5031.82,6082.05,6048.9
gene-CDR20291_0936,4698.87,5100.09,6138.8,9935.44,12886.86,12492.64
gene-CDR20291_0937,4743.84,5063.75,5836.52,10458.78,12662.48,12373.81
gene-CDR20291_0938,4738.6,4721.76,5636.71,8850.93,11649.54,10111.95
gene-CDR20291_0939,2487.89,2667.81,2827.31,2384.96,3993.62,3196.18
gene-CDR20291_0940,1135.95,1097.52,1184.69,1264.42,1651.01,1489.99
gene-CDR20291_0941,306.19,307.77,308.64,383.86,439.66,402.58
gene-CDR20291_0942,2987.25,3211.05,3074.75,2103.04,3108.1,2805.64
gene-CDR20291_0943,5577.28,5712.88,6142.77,7252.77,8802.35,7450.51
gene-CDR20291_0944,3551.86,3427.6,3991.05,10933.98,14404.27,12922.73
gene-CDR20291_0945,4907.2,4827.88,5991.64,13425.2,14640.32,12967.73
gene-CDR20291_0946,2238.41,2645.83,2924.87,2068.04,2634.65,2109.02
gene-CDR20291_0947,1036.21,1211.05,1449.14,872.04,1273.75,1118.44
gene-CDR20291_0948,268.23,270.39,383.59,298.91,417.06,354.29
gene-CDR20291_0949,531.21,717.36,813.61,590.73,919.48,929.65
gene-CDR20291_0950,25.5,31.43,31.8,51.48,57.95,54
gene-CDR20291_0951,2108.51,2189,2337.27,1952.05,2460.19,2220.84
gene-CDR20291_0952,731.95,745.68,852.02,788.76,927.87,828.68
gene-CDR20291_0953,621.86,651.82,715.55,935.19,1032.77,1070.15
gene-CDR20291_0954,604.49,792.26,678.55,412.52,680.52,600
gene-CDR20291_0955,614.47,644.78,741.57,804.06,1015.81,892.17
gene-CDR20291_0956,641.44,740.18,662.45,586.82,698.88,609.64
gene-CDR20291_0957,68266.74,69321.57,69828.59,87808.7,121814.19,105555.82
gene-CDR20291_0958,6594.53,7530.43,7566.98,11256.94,13430.21,11516.4
gene-CDR20291_0959,882.22,1027.51,1001.27,1317.85,1568.23,1398.19
gene-CDR20291_0960,332.71,307.81,334.41,905.4,1054.38,895.47
gene-CDR20291_0961,97.42,86.26,70.31,184.82,332.66,292.67
gene-CDR20291_0962,48.25,62.69,51.43,170.31,250.12,186.86
gene-CDR20291_0963,61.82,57.67,74.67,232.23,322.35,293.61
gene-CDR20291_0964,6898.94,7529.43,7938.76,6000.26,7055.62,6420.12
gene-CDR20291_0965,1909.16,2063.57,2196.32,1618.68,1887.18,1757.93
gene-CDR20291_0966,2024.05,2282.17,2277.52,1788.9,2159.2,2018.42
gene-CDR20291_0967,5706.39,6011.34,6493.24,5430.33,6550.94,5888.65
gene-CDR20291_0968,1401.6,1373.34,1446.29,2072.09,2265.21,2190.73
gene-CDR20291_0969,1516.65,1678.95,1496.16,1094.74,1417.22,1310.15
gene-CDR20291_0970,718.9,599.68,685.98,1194.75,1224.87,1063.51
gene-CDR20291_0971,11382.7,11255.36,12162.57,15771.25,16852.43,15623.4
gene-CDR20291_0972,1235.07,1192.59,1437.48,1912.52,2716.04,2545.4
gene-CDR20291_0973,7802.38,8122.78,9184.5,17032.34,20999.74,18973.27
gene-CDR20291_0974,4445.99,4250.85,5229.81,11180.39,13939.28,12836.1
gene-CDR20291_0975,2280.86,2227.81,2845.23,6332.06,7885.76,7238.69
gene-CDR20291_0976,2162.3,2121.31,2879.7,6444.22,8418.57,8024.11
gene-CDR20291_0977,1467.75,1407.13,1901.77,4357.98,5724.5,5522.29
gene-CDR20291_0978,3856.66,3544.51,5183.67,12017.86,14241.9,12733.97
gene-CDR20291_0979,15.66,21.53,33.87,54.32,59.25,51.61
gene-CDR20291_0980,4149.1,4625.53,4622.25,6902.63,6397.34,6075.32
gene-CDR20291_0981,3360.7,3442.09,3653.59,4687.7,4909.33,4734.13
gene-CDR20291_0982,20598,21045.68,23460.98,19506.2,21712.74,19317.49
gene-CDR20291_0983,5084.55,4991.57,5614.82,5293.17,5500.69,5237.44
gene-CDR20291_0984,3608.97,3957.09,4062.95,3505.16,3898.5,3626.5
gene-CDR20291_0985,26770.9,28188.13,28941.31,29677.61,31239.4,29062.23
gene-CDR20291_0986,9896.12,9949.89,10613,13059.68,13375.99,12169.79
gene-CDR20291_0987,12313.78,13081.85,13203.7,17583.8,18595.39,16781.69
gene-CDR20291_0988,5044.61,5280.34,5366.1,7439.5,8440.9,7718.45
gene-CDR20291_0989,5113.73,5046.96,5666,6516.26,7574.9,6827.74
gene-CDR20291_0990,3832.75,4058.95,4080.01,4480.83,5466.8,4736.73
gene-CDR20291_0991,38.72,37.38,50.16,147.57,160.94,143.79
gene-CDR20291_0992,137.94,167.89,159.91,310.46,416.6,459.06
gene-CDR20291_0993,1820.53,2048.39,2026.6,4353.27,6014.82,5407.85
gene-CDR20291_0994,251017.08,258641.28,231581.5,221967.94,309895.72,267519.44
gene-CDR20291_0995,6315.17,6158.57,7016.34,9586.08,11336.03,10195.18
gene-CDR20291_0996,5282.39,5527.15,5903.17,7580.18,9584.52,8819.87
gene-CDR20291_0997,3338.23,3219.46,3825.79,4872.67,5974.02,5436.89
gene-CDR20291_0998,13082.66,12177.85,13169.07,14601.88,13893.71,12106.12
gene-CDR20291_0999,22723.84,22033.91,22415.21,20875.34,21671.03,19201.09
gene-CDR20291_1000,7385.13,7641.4,8182.45,7297.83,7168.97,6599.5
gene-CDR20291_1001,14698.07,15001.1,15785.65,12680.21,14267.52,12952.2
gene-CDR20291_1002,6411.29,6347.72,6569.03,5338.84,5891.91,5389.4
gene-CDR20291_1003,491.5,501.34,621.48,1844.06,2096.94,2057.78
gene-CDR20291_1004,206.15,292.88,279.62,304.69,413.16,346.29
gene-CDR20291_1005,62.74,79.79,83.08,152.93,243.96,206.36
gene-CDR20291_1006,523,591.59,478.06,496.21,668.34,589.83
gene-CDR20291_1007,851.78,814.43,986.7,1582.04,1807.85,1743.02
gene-CDR20291_1008,816.77,875.88,933.47,1218.93,1635.61,1447.37
gene-CDR20291_1009,3736.53,3580.4,4246.16,4409.46,5924.74,5210.01
gene-CDR20291_1010,3467.24,3495.06,4208.35,4674.28,6207.63,5528.12
gene-CDR20291_1011,522.94,595.15,706.24,940.24,1255.39,1140.86
gene-CDR20291_1012,22754.71,24032.78,26431.19,18726.79,23364.57,20824.45
gene-CDR20291_1013,20003.53,21435.16,22845.93,35463.92,43127.14,39301.95
gene-CDR20291_1014,19696.51,22050.48,21832.62,30470.96,35304.4,30377.99
gene-CDR20291_1015,5573.38,5972.25,6354.91,9961.58,11567.66,10421.44
gene-CDR20291_1016,6524,6499.09,7240,12795.64,13571.06,12051.17
gene-CDR20291_1017,6860.35,6991.67,8180.94,16710.01,17493.01,16170.19
gene-CDR20291_1018,6810.92,6468.75,8154.72,18771.78,18591.72,16491.94
gene-CDR20291_1019,8691.29,8700.79,10932.97,21349.57,22928.85,21014.64
gene-CDR20291_1020,6216.66,6182.15,7898.02,14782.51,16750.72,15226.83
gene-CDR20291_1021,3555.22,3464.16,4575.82,7544.56,8706.02,7774.95
gene-CDR20291_1022,26912.56,25572.11,34572.77,57079.62,65443.94,57778.87
gene-CDR20291_1023,1044.74,1208.65,1382.66,2556.25,3069.98,2903.49
gene-CDR20291_1024,2131.96,2305.99,2705.68,5297,6370.11,5825.49
gene-CDR20291_1025,5.94,4.25,4.11,12.28,16.99,10.95
gene-CDR20291_1026,9.83,13.71,9.73,35.18,42.77,30.41
gene-CDR20291_1027,78.04,98.84,82.82,273.25,353.26,267.67
gene-CDR20291_1028,26.41,24.04,29.32,43.52,60.29,37.82
gene-CDR20291_1029,2261.85,2342.83,2547.73,2106.66,2642.56,2402.75
gene-CDR20291_1030,53.36,60.68,55.87,157.92,204.48,182.49
gene-CDR20291_1031,27.31,23.92,24.12,101.09,125.65,118.42
gene-CDR20291_1032,3.03,3.84,7.56,25.12,22.24,26.53
gene-CDR20291_1033,16.09,17.71,20.82,72.46,50.96,60.12
gene-CDR20291_1034,65.09,64.12,75.06,194.31,220.88,182.3
gene-CDR20291_1035,23.92,26.34,26.05,65.88,70.52,64.64
gene-CDR20291_1036,51.98,49.52,50.02,89.14,120.09,111.7
gene-CDR20291_1037,38.48,53.78,55.51,99.24,127.94,111.39
gene-CDR20291_1038,4133.86,3953.88,3951.23,5727.47,6789.9,6046.81
gene-CDR20291_1039,1375.89,1613.55,1629,3062.23,3854.22,3500.17
gene-CDR20291_1040,713.84,747.36,813.71,1586.95,1935.98,1797.59
gene-CDR20291_1041,1203.42,1427.57,1445.26,2443.17,2881.74,2469.23
gene-CDR20291_1042,121.58,128.42,154.38,199.32,220.58,205.5
gene-CDR20291_1043,1197.77,1164.81,1311.73,1520.42,1489.85,1493.34
gene-CDR20291_1044,2099.5,2037.82,2205.77,3578.74,3936.09,3653.74
gene-CDR20291_1045,5290.23,5698.49,6295.69,11755.58,13785.81,12673.49
gene-CDR20291_1046,936.24,885.3,1074.1,2115.34,2107.96,2003.28
gene-CDR20291_1047,3105.81,3279.91,3787.89,5133.66,5478.62,5100.82
gene-CDR20291_1048,804.19,804.03,851.39,730.55,1041,974.15
gene-CDR20291_1049,643.92,655.35,733.67,766.6,1280.38,1164.34
gene-CDR20291_1050,949.88,941.13,969.98,1211.01,1459.66,1289.27
gene-CDR20291_1051,185.97,189.37,209.11,265.73,284.96,259.4
gene-CDR20291_1052,10055.61,10920.06,12720.44,14134.78,19430.99,17234.39
gene-CDR20291_1053,1415.28,1437.74,1565.77,1734.17,1780.83,1775.33
gene-CDR20291_1054,1351.16,1390.85,1695.77,1568.63,1861.19,1584.9
gene-CDR20291_1055,1091.69,1098.59,1417.44,1383.18,1646.14,1352.54
gene-CDR20291_1056,1361.76,1325.05,1729.1,1529.02,1691.89,1567.73
gene-CDR20291_1057,2033.97,2041.17,2554.39,2547.01,3130.18,2763.23
gene-CDR20291_1058,878.34,884.29,1189.17,1137.47,1218.92,1186.94
gene-CDR20291_1059,59.83,50.91,67.76,57.76,108.11,91.27
gene-CDR20291_1060,547.58,497.33,593.33,607.87,731.8,683.48
gene-CDR20291_1061,1363.32,1424.89,1734.17,2324.71,2602.2,2166.88
gene-CDR20291_1062,2152.21,2251.39,2782.71,3296.08,3969.3,3499.66
gene-CDR20291_1063,818.3,770.65,999.63,1074.87,1318.6,1124.19
gene-CDR20291_1064,1999.88,2028.72,2289.59,2310.51,3308.64,2839.23
gene-CDR20291_1065,697.47,790.94,906.16,1691.41,1957.11,1809.16
gene-CDR20291_1066,5374.25,5776.92,5584.24,6764.13,7295.17,6565.22
gene-CDR20291_1067,1132.14,1214.11,1364.14,2762.93,3383.51,3081.1
gene-CDR20291_1068,1099.53,1231.27,1283.27,1331.24,1622.44,1479.08
gene-CDR20291_1069,583.05,710.71,760.13,1106.17,1597.54,1322.57
gene-CDR20291_1070,2321.96,2354.21,2663.39,1574.41,2294.4,1917.1
gene-CDR20291_1071,152.05,160.11,131.65,254.99,317.3,292.22
gene-CDR20291_1072,639.19,698.99,649.19,1040.17,1363.36,1337.15
gene-CDR20291_1073,14.21,18.43,14.91,29.03,41.98,42.46
gene-CDR20291_1074,118.83,121,137.32,207.81,217.71,202.41
gene-CDR20291_1075,248.11,338.62,320.76,285.11,474.77,500.39
gene-CDR20291_1077,2234.2,2677.82,2717.73,409.67,1055.01,874.96
gene-CDR20291_1078,36534.3,35565.5,34123.59,3342.97,4994.48,4569.25
gene-CDR20291_1079,618.58,636.48,588.62,237.73,414.77,332.35
gene-CDR20291_1080,28.07,34.14,38.41,108.03,133.56,119.8
gene-CDR20291_1081,6.28,10.2,4.39,10.59,15.07,11.44
gene-CDR20291_1082,24.95,16.48,17.07,30.51,56.24,65.77
gene-CDR20291_1083,21.89,42.43,44.31,48.29,103.88,123.06
gene-CDR20291_1084,20.95,23.81,17.16,30.36,35.51,51.9
gene-CDR20291_1085,9753.07,10467.45,10569.25,21214.33,23324.74,20657.35
gene-CDR20291_1086,2340.39,2042.22,2388.89,2686.54,2537,2265.76
gene-CDR20291_1087,1340.02,1401.56,1396.09,2903.87,3345.56,3029.54
gene-CDR20291_1088,1468.98,1586.07,1713.2,2742.76,3261.65,3111.63
gene-CDR20291_1089,4684.32,5427.85,6108.33,6416.36,7686.77,6981.68
gene-CDR20291_1090,3646.36,3792.29,3922.32,5443.3,5649.72,5026.75
gene-CDR20291_1091,3136.18,3217.92,3405.84,8734.64,10058.17,9266.12
gene-CDR20291_1092,18985.15,19662.22,20601.3,47640.45,55082.02,50437.85
gene-CDR20291_1093,14995.93,15383.2,15959.62,13484.71,15992.06,15144.23
gene-CDR20291_1094,3031.58,2947.26,3337.29,2649.08,3034.33,2800.8
gene-CDR20291_1095,3205.17,3478.38,3743.79,5068.76,6134.04,5670.07
gene-CDR20291_1096,3623.07,3727.24,4085.87,6102.1,7312.08,7083.9
gene-CDR20291_1097,20003.54,20835.98,21564.39,22877.08,27403.47,25128.06
gene-CDR20291_1098,1984.29,1781.06,1925.8,3781.84,4201.15,3849.49
gene-CDR20291_1099,85.92,88.25,110.65,241.73,305.51,285.44
gene-CDR20291_1100,14273.28,14425.85,17260.89,51432.36,65406.64,59479.64
gene-CDR20291_1101,9296.36,9723.69,10316.74,10392.68,12580.44,10855.27
gene-CDR20291_1102,1947.26,2143.46,2386.92,3512.93,4713.76,3784.34
gene-CDR20291_1103,3777.01,3706.38,4448.93,5851.67,7552.31,6674.72
gene-CDR20291_1104,1807.31,1705.7,1911.35,2754.21,3694.06,3123.45
gene-CDR20291_1105,4914.79,5159.35,5376.46,5682.27,6764.75,6022.26
gene-CDR20291_1106,2794.55,3410.36,3764.47,3869.33,5652.16,5047.04
gene-CDR20291_1107,1215.52,1514.1,1744.77,2072.25,3512.75,3275.74
gene-CDR20291_1108,953.42,1098.02,1024.44,1682.03,2210.93,2106.78
gene-CDR20291_1109,177.92,185.04,207.3,449.37,584.38,521.81
gene-CDR20291_1110,326.01,345.84,378.06,914.38,1193.32,1086.13
gene-CDR20291_1111,20.44,26.74,25.76,55.5,108.13,87.87
gene-CDR20291_1112,152.56,181.56,183.2,329.96,429.5,431.62
gene-CDR20291_1113,1317.81,1478.6,1454.17,3935.54,4759.06,4370.86
gene-CDR20291_1114,17411.91,19142.99,19477.67,36697.65,43801.3,40738.05
gene-CDR20291_1115,26004.64,26519.54,26278.46,35705.05,41451.66,36970.61
gene-CDR20291_1116,1961.84,2061.97,2121.55,5528.35,6420.09,5910.86
gene-CDR20291_1117,876.72,878.34,916.27,2307.14,2472.11,2246.44
gene-CDR20291_1118,17550,20458.71,17424.06,18813.43,22307.9,19758.35
gene-CDR20291_1119,242023.8,249260.28,205595.25,173250.75,214981.42,192943.41
gene-CDR20291_1120,97794.59,98517.6,81680.71,68589.31,85632.23,77820.82
gene-CDR20291_1121,3752.84,4310.4,4212.82,5951.63,7151.88,6196.12
gene-CDR20291_1122,13427.92,12882.79,15070.08,14544.99,16192.91,14863.12
gene-CDR20291_1123,1790.05,1796.16,1992.68,1955.75,2105.27,1918.33
gene-CDR20291_1124,16623.24,16728.4,18222.7,19665.96,22482.58,19980.94
gene-CDR20291_1125,345.49,300.45,402.46,559.99,564.57,532.95
gene-CDR20291_1126,710.92,601.68,567.77,367.71,576.11,515.56
gene-CDR20291_1127,13552.97,14958.65,16052.46,11612.72,13682.77,11882.46
gene-CDR20291_1128,1344.31,1844.33,1848.12,1448.64,1818.33,1700.34
gene-CDR20291_1129,35703.68,36137.69,37007.68,31736.83,35766.62,31071.22
gene-CDR20291_1130,26.23,24.69,26.91,36.15,42.28,36.31
gene-CDR20291_1131,174.08,216.65,209.8,329.1,364.55,336.44
gene-CDR20291_1132,513.68,572.22,611.14,460.91,646.82,586.85
gene-CDR20291_1133,559.18,620.68,559.35,539.84,775.72,662.66
gene-CDR20291_1134,702.82,830.96,828.16,1881.41,2539.67,2167.49
gene-CDR20291_1135,497.37,549.06,650.38,1045.08,1427.13,1301.1
gene-CDR20291_1136,827.3,774.47,998.16,1931.68,2559.4,2118.29
gene-CDR20291_1137,11.28,21.8,15.47,32.95,45.09,38.62
gene-CDR20291_1138,20.46,19.65,19.46,55.72,51.69,50.8
gene-CDR20291_1139,176.7,186.63,204.22,195.92,302.31,238.08
gene-CDR20291_1140,1686.52,1660.92,1860.71,2507.81,3038.12,2748.08
gene-CDR20291_1141,54.52,62.41,62.43,100.68,134.19,145.7
gene-CDR20291_1142,4.53,10.21,7.21,14.8,28.24,22.19
gene-CDR20291_1143,268.56,324.18,346.14,378.91,472.08,412.51
gene-CDR20291_1144,1073.56,1150.64,979.54,906.09,1389.84,1236.19
gene-CDR20291_1145,3261.07,3117.19,3337.47,4159.16,4747.97,4350.38
gene-CDR20291_1146,15491.8,16513.42,15695.45,18369.58,22139.21,19976.62
gene-CDR20291_1147,1064.94,1237.42,1234.93,1732.36,1747.36,1626.2
gene-CDR20291_1148,26898.64,30135.02,30483.61,29894.19,32480.36,30785.85
gene-CDR20291_1149,6773.06,6951.03,7056.58,6739,6679.01,6320.83
gene-CDR20291_1150,4556.31,4971.3,5111.21,3981.7,4470.41,4319.53
gene-CDR20291_1151,138914.66,148634.56,150582.02,106505.4,121330.85,114081.79
gene-CDR20291_1152,19691.99,20841.83,21661.6,15433.48,19746.47,18615.42
gene-CDR20291_1153,24783.62,24707.58,28236.4,26438.54,32655.13,32147.4
gene-CDR20291_1154,23051.13,22492.42,25168.52,25902.55,29928.39,29075.22
gene-CDR20291_1155,4597.48,4725.58,5199.11,6822.41,8484.75,7697.08
gene-CDR20291_1156,1596.9,1452.24,1552.33,2595.76,2752.46,2446.63
gene-CDR20291_1157,9937.09,9380.58,9907.21,15831.4,16782.54,14928.23
gene-CDR20291_1158,1159.63,1177.27,1150.22,1201.79,1303.85,1125
gene-CDR20291_1159,37183.46,37692.42,42711.15,42352.25,51059.15,44191.34
gene-CDR20291_1160,243.49,259.36,280.7,311.84,423.48,392.09
gene-CDR20291_1161,4520.8,4692.04,4749.39,4939.3,5040.42,4645.22
gene-CDR20291_1162,217.89,202.29,247,272.27,282.63,242.65
gene-CDR20291_1163,6780.44,6964.06,7726.02,8559.7,9598.36,8889.42
gene-CDR20291_1164,3806.3,4040.09,4630.02,4946.89,6074.37,5346.48
gene-CDR20291_1165,5606.8,5978.12,6719.67,14167.54,16762.1,15576.4
gene-CDR20291_1166,2309.07,2331.85,2617.25,4978.49,5837.12,5661.3
gene-CDR20291_1167,3356.97,3383.64,3923.27,6370.59,7832.2,6985.82
gene-CDR20291_1168,2705.82,2916.12,3186.96,5306.17,6625.94,5887.61
gene-CDR20291_1169,15207.52,16251.21,16131.97,22226.24,26179.21,24776.84
gene-CDR20291_1170,37522.28,36206.27,41321.1,69684.05,80352.05,72666.89
gene-CDR20291_1171,3437.24,3550.57,3542.28,2944.02,4458.39,3863.56
gene-CDR20291_1172,4950.43,5703.72,5597.38,2724.72,3547.28,3097.2
gene-CDR20291_1173,4925.21,5675.57,5440.68,2887.29,3476.3,2852.08
gene-CDR20291_1174,1617.51,1766.94,1982.79,2250.21,3081.65,2736.47
gene-CDR20291_1175,9886.48,9453.76,11977.03,32022.79,38453.46,34511.82
gene-CDR20291_1176,468.18,594.52,657.63,393.74,717.05,627.19
gene-CDR20291_1177,1112.49,1244.56,1323.62,1359.79,2041.57,1780.15
gene-CDR20291_1178,294.43,350.62,357.72,335.71,428.57,443
gene-CDR20291_1179,1509.03,1647.6,1841.58,1811.31,2447.85,2138.36
gene-CDR20291_1180,36934.36,35632.62,44290.48,58769.15,91709.62,79960.52
gene-CDR20291_1181,973.52,1093.67,1074.89,2230.19,2693.85,2523.86
gene-CDR20291_1182,6583.58,6798.85,6595.58,7838.15,9313.35,8399.52
gene-CDR20291_1183,847.44,1058.4,1101.32,1363.81,1923.93,1639.13
gene-CDR20291_1184,209.81,287.17,272.6,237.5,428.59,331.39
gene-CDR20291_1185,12437.56,12061.11,13707.95,19709.19,22378.57,20400.26
gene-CDR20291_1186,1375.16,1533.97,1507.12,2114.91,2879.16,2482.49
gene-CDR20291_1187,83.36,108.02,114.18,165.24,134.99,142.66
gene-CDR20291_1188,629.75,698.91,837.15,1124.03,1328.56,1267.49
gene-CDR20291_1189,1009.14,1063.51,1193.93,1355.97,1738.91,1648.19
gene-CDR20291_1190,934.22,1046.72,1213.64,2079.98,2410.42,2180.92
gene-CDR20291_1191,65.93,62.73,60.86,103.59,118.85,134.69
gene-CDR20291_1192,39.63,39.43,48.46,97.09,134.59,100.01
gene-CDR20291_1193,85.33,72.59,64.94,107.35,147.56,131.52
gene-CDR20291_1194,578.04,728.05,675.63,774.57,1270.89,1110.51
gene-CDR20291_1195,4167.72,4072.9,4073.3,5265.84,6444.45,5532.82
gene-CDR20291_1196,67.52,94.08,92.02,266.69,393.47,405
gene-CDR20291_1197,23371.35,24657.58,27785.88,46018.59,57146.56,52402.64
gene-CDR20291_1198,4214.19,4354.48,4412.28,4587.55,6469.38,5952.26
gene-CDR20291_1199,11993.04,13286.54,15359.51,24764.75,33890.22,30843.91
gene-CDR20291_1200,373.01,490.69,519.39,448.5,841.48,778.31
gene-CDR20291_1201,194.24,235.43,236.89,566.96,828.99,776.38
gene-CDR20291_1202,314.45,376.42,325.05,890.56,1049.99,979.68
gene-CDR20291_1203,12.07,14.68,10.48,19.9,24.27,29.84
gene-CDR20291_1204,27.67,33.32,36.82,33.1,55.04,29.04
gene-CDR20291_1205,1041.57,999.98,1184.37,683.32,832.79,814.72
gene-CDR20291_1206,1847.22,1807,2126.95,1334.39,1556.09,1391.69
gene-CDR20291_1207,1661.43,1704.8,1822.61,1170.72,1311.04,1183.66
gene-CDR20291_1208,1638.99,1649.55,1891.98,1184.14,1465.66,1350.78
gene-CDR20291_1209,314.11,310.3,299.63,195.29,255.65,219.28
gene-CDR20291_1210,5091.35,5096.6,5686.39,3505.33,3767.35,3331.21
gene-CDR20291_1211,773.35,755.22,877.95,596.39,583.92,500.24
gene-CDR20291_1212,2710.15,2611.76,3010.98,1920.97,1911.19,1754.27
gene-CDR20291_1213,830.57,815.59,837.13,455.51,508.7,488.03
gene-CDR20291_1214,1122.58,1140.25,1251.43,795.51,793.71,712.84
gene-CDR20291_1215,1532.25,1363.84,1641.39,1069.46,1006.68,941.27
gene-CDR20291_1216,1104.38,1111.29,1223.87,691.57,742.62,635.63
gene-CDR20291_1217,1349.05,1408.51,1573.26,896.56,965.23,846.87
gene-CDR20291_1218,10220.34,10545.45,11969.73,6748.34,7938.16,7413.14
gene-CDR20291_1219,157.83,132.4,179.44,103.21,132.15,133.61
gene-CDR20291_1220,191.18,252.26,253.92,312.06,632.65,542.24
gene-CDR20291_1221,905.9,1038.05,1202.07,2734.86,3558.38,3365.88
gene-CDR20291_1222,2177.37,2580.29,2529.91,4252.92,5730.05,4722.94
gene-CDR20291_1223,61.86,74.07,65.62,106.18,196.29,179.15
gene-CDR20291_1224,103.37,136.3,134.41,135.62,308.46,304.67
gene-CDR20291_1225,783.18,872.12,880.5,670.33,999.24,881.14
gene-CDR20291_1226,928.85,1122.69,1080.66,4141.36,5169.02,4897.6
gene-CDR20291_1227,59.23,76.54,85.81,164.46,268.01,298.57
gene-CDR20291_1228,629.54,628.71,754.08,1684.59,2085.98,1954.86
gene-CDR20291_1229,996.78,1180.21,1236.88,2577.43,3375.63,2954.88
gene-CDR20291_1230,1300.64,1338.94,1420.05,2793.35,3230.26,3009.59
gene-CDR20291_1231,2579.61,2851.16,2951.48,7646.59,9015.52,8248.33
gene-CDR20291_1232,1917.45,1933.38,2349.05,5781.19,6664.79,5954.15
gene-CDR20291_1233,3163.99,3140.2,3669.78,9761.02,11482.9,10389.63
gene-CDR20291_1234,1058.47,1143.34,1260.51,2343.8,2912.41,2603.91
gene-CDR20291_1235,52.31,47.71,35.16,106.17,151.06,138.96
gene-CDR20291_1236,50.9,71.44,74.57,143.5,191.92,208.16
gene-CDR20291_1237,267.26,314.45,320.89,750.48,994.25,873.67
gene-CDR20291_1238,1524.29,1582.2,1610.9,1689.36,2065.98,1777.06
gene-CDR20291_1239,306.25,307.33,362.62,1031.95,1363.42,1202.97
gene-CDR20291_1240,817.75,865.99,982.65,1507.78,1698.28,1527.28
gene-CDR20291_1241,93.62,224.64,372.95,285.66,440.64,451.55
gene-CDR20291_1242,1564.91,1688.54,2074.28,3635.63,4679.99,4067.3
gene-CDR20291_1243,582.57,640.55,691.14,733.07,1155.94,898.19
gene-CDR20291_1244,160.95,210.46,203.38,342.33,376.79,364.17
gene-CDR20291_1245,262.49,304.99,335.38,426.18,572.66,504.74
gene-CDR20291_1246,954.24,1035.56,1130.35,1093.55,1444.15,1275.43
gene-CDR20291_1247,2192.08,2485.13,2368.13,3478.02,5125.02,4661.74
gene-CDR20291_1248,205.51,212.4,236.8,333.71,459.92,389.71
gene-CDR20291_1249,1702.43,1805.56,1824.56,1886.23,2365.64,2181.67
gene-CDR20291_1250,29513.87,28564.19,39858.25,123203.67,165704.77,144896.14
gene-CDR20291_1251,3803.02,3914.4,5238.58,14010.85,17652.42,15412.47
gene-CDR20291_1252,4186.75,4081.52,4944.4,5390.29,6934.76,6061.43
gene-CDR20291_1253,1063.71,1190.83,1385.91,1290.45,1525.01,1292.91
gene-CDR20291_1254,3810.13,4170.55,4711.42,6702.4,9309.27,7643.7
gene-CDR20291_1255,4704.17,4747.19,5513.05,13691.84,16273.5,13806.1
gene-CDR20291_1256,3835.09,4021.19,4673.17,5835.8,7256.76,6377.94
gene-CDR20291_1257,3219.69,3374.4,3806.35,4010.17,5850.7,5377.53
gene-CDR20291_1258,445.19,573.22,635.99,893.34,1266.68,1202.43
gene-CDR20291_1259,658.36,778.57,777,1988.38,2917.56,2572.07
gene-CDR20291_1260,618.25,694.9,757.01,2408.29,3567.76,3155.22
gene-CDR20291_1261,3004.49,3376.37,3506.86,7064.09,8769.83,7948.67
gene-CDR20291_1262,112.5,409.15,448.5,41.65,296.1,411.79
gene-CDR20291_1263,24.76,23.05,18.1,64.29,95.8,94.03
gene-CDR20291_1264,2654.48,2439.99,2444.51,3070.77,3867.75,3387.3
gene-CDR20291_1265,1077.31,1171.78,1221.63,2026.84,2941.53,2484.67
gene-CDR20291_1266,3321.39,3472.22,3505.96,3205.86,4396.29,3778.89
gene-CDR20291_1267,684.43,843.82,880.18,823.52,1165.96,1041.96
